Title,Company,Position,region,url
[강남역] 프론트엔드 개발자 - 플랫폼 서비스,투브플러스,서울 강남구,https://www.jumpit.co.kr//position/3779,경력 2~5년,
SRE Engineer,에스티씨랩,서울 강남구,https://www.jumpit.co.kr//position/18349,경력 3~5년,
Robotics Engineer,씨메스,서울 강남구,https://www.jumpit.co.kr//position/22583,경력 1~10년,
3D/2D Vision Engineer,씨메스,서울 강남구,https://www.jumpit.co.kr//position/22582,경력 1~10년,
[루미르] 사내 시스템 개발자 경력직 채용,루미르,경기 용인시,https://www.jumpit.co.kr//position/22492,경력 3~30년,
백엔드 개발자,긴트,경기 성남시,https://www.jumpit.co.kr//position/22289,경력 4~10년,
RPA 솔루션 구축 PM,아주큐엠에스,서울 서초구,https://www.jumpit.co.kr//position/21644,경력 3~10년,
[Upstage] AI Solution Reliability Engineer,업스테이지,경기 용인시,https://www.jumpit.co.kr//position/16956,경력 2~10년,
[Upstage] Software Engineer - MLOps Platform,업스테이지,경기 용인시,https://www.jumpit.co.kr//position/18861,경력 1~10년,
알고리즘 영상처리 개발자,크리에이츠,서울 강남구,https://www.jumpit.co.kr//position/22396,경력 3~10년,
머신러닝 개발자,아이트럭,서울 서초구,https://www.jumpit.co.kr//position/5275,경력 5~10년,
